,omlet,waffles,traditional platter,chocolate chips,coleslaw,sausage,bacon,ham,hash browns,toast,butter,beverage,mayonaise,cheese,bun,burger,BLT,chicken sandwich,fried chicken,nachos,tuna melt,french fries,onion rings,milk shake,mashed potatoes,gravy,salad,ice cream,bread crumbs,ketchup,mustard,buttermilk,corn chips
beans,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028040226803816237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
beef,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46470588303241595,0.0,0.0,0.0,0.0422069909785695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chicken,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.503124997319498,0.2781743866323442,0.04445440543134371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jalapenos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04445440543134371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cilantro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0295263228859467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cayenne pepper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01112286300389509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
garlic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01112286300389509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
onion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010973386968691434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cumin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01112286300389509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oregano,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01112286300389509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lemon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030050088214576,0.0,0.003261634717550921,0.0,0.007246641557544398,0.0,0.0,0.0,0.0,0.0,0.09545454514491936,0.0,0.0,0.0,0.0,0.0,0.0
celery,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007778983764454184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
parsley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007246641557544398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eggs,0.5312749660716894,0.13381087860669316,0.4531582441543395,0.0,0.14940420531615273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999878678275,0.0,0.0,0.0,0.0676741405896889,0.0,0.0,0.0,0.034998484471408964,0.0,0.08814332260551161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vegetable oil,0.040744860021636686,0.03333184858824878,0.055645478922586866,0.0,0.057160251882036106,0.1406250004311418,0.0,0.0,0.3445398757991353,0.05603448255988741,0.0,0.0,0.19999999962112525,0.0,0.05603448255988741,0.06228753615188387,0.061913566120457175,0.037845644775103326,0.30164135977413,0.16187599851676615,0.024385988271472425,0.3376119383088618,0.24997131504691705,0.0,0.0,0.0,0.09545454514491936,0.0,0.04734848492037991,0.0,0.0,0.0,0.30523255709230024
flour,0.0061712088848266955,0.39357398537540683,0.02039191902805637,0.0,0.0,0.0,0.0,0.0,0.0,0.3586206881082312,0.0,0.0,0.0,0.0,0.3586206881082312,0.11387332624702062,0.12131021750927717,0.14065970782521797,0.18072314156391478,0.0,0.10353331143708533,0.0,0.1437267216751228,0.0,0.0,0.11612903181580558,0.0,0.0,0.35087719313888405,0.0,0.0,0.0,0.0
milk,0.05251761851220471,0.03210310422315732,0.0,0.13719512192675865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38013698728572276,0.0,0.017110742736961115,0.0,0.007003485360879358,0.039809437101115175,0.033337511746083015,0.02479007002971767,0.0,0.08814332260551161,0.48184032911618285,0.0,0.0,0.0,0.29999999990162457,0.0,0.0,0.0,0.789999994206884,0.0
sugar,0.006606816841418839,0.06510745312975141,0.014840887415486281,0.2469512194656157,0.04999999978765568,0.028125000081896556,0.0,0.06716417878932934,0.0,0.11206896510792774,0.0,0.0,0.0,0.0,0.11206896510792774,0.03325656048083392,0.03239633232873618,0.04417364781355981,0.0025761219730673357,0.0,0.0269596629930291,0.0,0.003784665106819185,0.3836063718565754,0.0,0.0,0.0,0.29999999990162457,0.09715025920148657,0.24120603101985616,0.0,0.0,0.0
baking powder,0.0,0.07885514019598716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08814332260551161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vanilla,0.0,0.05602710884966566,0.0,0.08231707315642212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cocoa,0.0,0.015093284474301916,0.0,0.3567073170012711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
soy lecithin,0.0,0.012819504991469333,0.0,0.30182926823392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cabbage,0.00654718087513384,0.0063594771519084325,0.010609222150399056,0.0,0.34999999819089755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carrots,0.0026434507625937576,0.0025750348657338495,0.004290552220931887,0.0,0.14999999932695496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vinegar,0.011279077288908645,0.0025750348657338495,0.004290552220931887,0.0,0.14999999932695496,0.0,0.0,0.1343283575544516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011958987314295011,0.0030050088214576,0.008921332183769337,0.008711906440173056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09545454514491936,0.0,0.0,0.3015075388088601,0.21997206776894973,0.0,0.0
pork,0.05817612060965982,0.027847472493706227,0.17371500991834854,0.0,0.0,0.39375000140232264,0.718791943038282,0.39626865434808073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25567312047979146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pepper,0.0,0.0,0.025308740554514486,0.0,0.0,0.08437500025189326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006093931811509412,0.0038223261944252407,0.0022135230244456627,0.0064016840548299925,0.0,0.0,0.046567163940061884,0.08814332260551161,0.0,0.04992187525369218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sage,0.0,0.0,0.025308740554514486,0.0,0.0,0.08437500025189326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
thyme,0.0,0.0,0.025308740554514486,0.0,0.0,0.08437500025189326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nutmeg,0.0,0.0,0.025308740554514486,0.0,0.0,0.08437500025189326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rosemary,0.0,0.0,0.025308740554514486,0.0,0.0,0.08437500025189326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
celery powder,0.006399594845761469,0.006216800756565721,0.010370738977467653,0.0,0.0,0.0,0.17114093903746763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05501207681871856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sodium nitrite,0.00844928748816065,0.006216800756565721,0.010370738977467653,0.0,0.0,0.0,0.17114093903746763,0.033582089397399484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05501207681871856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
potatoes,0.010037419715539397,0.009724346986645038,0.016239143283317437,0.0,0.0,0.0,0.0,0.0,0.5526993837189624,0.0,0.0,0.0,0.0,0.0,0.0,0.06916688772918178,0.046706899138761915,0.02587927391458289,0.08957546619159928,0.0,0.0,0.44820895238870695,0.0,0.0,0.5824218791982557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gluten,0.0007507634933540119,0.0007323388277991061,0.002444300241713826,0.0,0.0,0.0,0.0,0.0,0.0,0.05603448255988741,0.0,0.0,0.0,0.0,0.05603448255988741,0.013255051123345796,0.015702066739972764,0.019788047840006207,0.0,0.0,0.01301270211103489,0.0,0.001787772979891522,0.0,0.0,0.0,0.0,0.0,0.04734848492037991,0.0,0.0,0.0,0.0
yeast,0.003944067743857471,0.0038383408986990553,0.01295052610315306,0.0,0.0,0.0,0.0,0.0,0.0,0.2521551714109789,0.0,0.0,0.0,0.0,0.2521551714109789,0.07128185164185319,0.07931335574899157,0.09465445049621568,0.0,0.0,0.06683951498036111,0.0,0.010007370656381354,0.0,0.0,0.0,0.0,0.0,0.23372576199135997,0.0,0.0,0.0,0.0
cream,0.0010919855925675126,0.0010649237117628108,0.0035583600022878192,0.0,0.0,0.0,0.0,0.0,0.0,0.08007074915394241,0.7899999950350304,0.0,0.0,0.0,0.08007074915394241,0.019322261709702082,0.030033933681721137,0.02846127600877335,0.018792941073673797,0.0,0.08363575355278241,0.0,0.002616506683034703,0.17553159372352933,0.24764583651791744,0.19460871193982188,0.0,0.29999999990162457,0.0683997697802502,0.0,0.0,0.23605536305533026,0.0
coffee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29999999996209253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03749999999584874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
orange juice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1499999999825219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
soda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1499999999825219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iced tea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11249999998712301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lemon juice,0.00048484798794756756,0.00047304020813487835,0.0007876207566478444,0.0,0.028474873671598955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09999999982095986,0.0,0.0,0.0,0.011071330213800024,0.0,0.0,0.0,0.005441384155290274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
enzymes,0.03730449905701538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2825342472637392,0.0,0.012193543391983641,0.0,0.005285941886061574,0.0,0.02402791443682628,0.017783001094250017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
microbial cultures,0.04513313251576634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33390411042799506,0.0,0.01472881692399497,0.0,0.006196300857199466,0.0,0.028855761275817016,0.021396677801400643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lettuce,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08589479136169043,0.0,0.022327708406542524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4772727252763955,0.0,0.0,0.0,0.0,0.0,0.0
tomato,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16755319111799838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tuna,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4078723393347866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
beer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3749999999502673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chicken stock,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029248170458390232,0.0,0.0,0.0,0.0,0.0,0.0,0.3096774180563091,0.0,0.0,0.0,0.0,0.0,0.0,0.0
beef stock,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029248170458390232,0.0,0.0,0.0,0.0,0.0,0.0,0.309677418056309,0.0,0.0,0.0,0.0,0.0,0.0,0.0
onion powder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010151498615804666,0.0,0.0,0.0,0.0,0.0,0.0,0.11612903181580558,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mustard seed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010736047768768242,0.0,0.007141532175151899,0.0049176561145819475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4650838006925834,0.0,0.0
tumeric,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018577587176958898,0.0,0.001481359566352758,0.0008715944604926751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09427374331109195,0.0,0.0
garlic powder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018577587176958898,0.0,0.001481359566352758,0.0008715944604926751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09427374331109195,0.0,0.0
corn flour,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3915156470975731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6453488343319534
omlet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
waffles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
traditional platter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chocolate chips,0.0,0.030968904826771948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coleslaw,0.013408877573323985,0.012957639894870976,0.02165809936616503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sausage,0.0,0.0,0.45000000297254555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bacon,0.03533380464299163,0.03355483277528526,0.05628761905519075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3351063807418562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ham,0.05082396510999587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hash browns,0.0164593973242394,0.015868466902260958,0.026543206338122904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
toast,0.015434686713361456,0.0148922502107941,0.052579818779986076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3111702107342705,0.0,0.0,0.0,0.298723402461602,0.0,0.08814332243748002,0.0,0.0,0.0,0.0,0.0,0.7499999952278087,0.0,0.0,0.0,0.0
butter,0.0011496815419983486,0.0011211429415536323,0.0037469280012624173,0.0,0.0,0.0,0.0,0.0,0.0,0.08405172324871546,0.0,0.0,0.0,0.0,0.08405172324871546,0.020350916431624455,0.03152590943721878,0.029909256745556778,0.021897094564590103,0.0,0.0880236899396255,0.0,0.002757677928291513,0.0,0.25792968743045624,0.23225806299665896,0.0,0.0,0.07193094587455728,0.0,0.0,0.2999999977944864,0.0
beverage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mayonaise,0.004536864267174923,0.004413327842418213,0.0073579924003159825,0.0,0.24999999798233635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11968085045989252,0.0,0.0,0.0,0.06893616988910145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cheese,0.12803907821907046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04071053681827497,0.0,0.013090017110224506,0.0,0.07474672152263717,0.0689361702862149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bun,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3823529406982303,0.0,0.36458333013977157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BLT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chicken sandwich,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fried chicken,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nachos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
